DMU,投入_资本,投入_劳动,投入_能源,产出_营收,非期望_SO2,非期望_NOx
8_2019,0.0001,0.0001,0.0001,322014.298466,3.4597044417240177,33.36811465415674
8_2020,0.0001,0.0001,0.0001,191751.916643,1.4263942871190707,16.331710561263495
8_2021,0.0001,0.0001,0.0001,221480.453696,1.161260971719108,11.46098758626824
8_2022,0.0001,0.0001,0.0001,177295.285832,0.9188317378847282,8.77649040469576
8_2023,0.0001,0.0001,0.0001,251164.78240700002,1.052256036055067,12.860175459421438
8_2024,0.0001,0.0001,0.0001,208201.235478,0.9662246178864563,10.166926001599899
12_2019,0.0001,0.0001,0.0001,1047202.8099,357.68655165437673,672.9296827816578
12_2020,0.0001,0.0001,0.0001,1067125.3445,293.91138584956434,762.8292129655315
12_2021,0.0001,0.0001,0.0001,1362903.365,360.3381489863434,715.0485669608629
12_2022,0.0001,0.0001,0.0001,1519870.6998,283.8742461007293,690.0638228134728
12_2023,0.0001,0.0001,0.0001,1819486.4366,281.31033847764616,783.5009107113772
12_2024,0.0001,0.0001,0.0001,1545538.6401,208.08164159142493,504.3813318589174
16_2019,0.0001,0.0001,0.0001,5511912.547872,1882.6696926616225,3541.94003997557
16_2020,0.0001,0.0001,0.0001,5035183.655487,1386.80785141005,3599.375841693396
16_2021,0.0001,0.0001,0.0001,4910651.366958,1298.327577235754,2576.377983179848
16_2022,0.0001,0.0001,0.0001,2960785.425527,553.0014695645519,1344.2794242552552
16_2023,0.0001,0.0001,0.0001,1784933.1429240003,275.9680624683367,768.6216917633039
16_2024,0.0001,0.0001,0.0001,1111476.396959,149.64222004464804,362.7265801595597
17_2019,0.0001,0.0001,0.0001,7602.268775,2.596659670096908,4.8851972768008185
17_2021,0.0001,0.0001,0.0001,16524.657795,4.368955830175859,8.669677674347362
17_2022,0.0001,0.0001,0.0001,44476.223825,8.30705829738712,20.193450035602257
17_2023,0.0001,0.0001,0.0001,56848.190791999994,8.789284422159747,24.479769874546218
17_2024,0.0001,0.0001,0.0001,57986.931588,7.806997251715398,18.923839900162502
20_2019,0.0001,0.0001,0.0001,72155.744051,24.64578878863262,46.367085244691644
20_2020,0.0001,0.0001,0.0001,69174.226912,19.052206942291548,49.44884998257116
20_2021,0.0001,0.0001,0.0001,76561.12487,20.24200301242058,40.167868118225144
20_2022,0.0001,0.0001,0.0001,66443.512812,12.410004423581967,30.16721386775734
20_2023,0.0001,0.0001,0.0001,72654.117776,11.233034801596904,31.286063088659404
20_2024,0.0001,0.0001,0.0001,81668.26620700001,10.995303810183922,26.652163725540984
21_2019,0.0001,0.0001,0.0001,1322381.881508,451.6777559181596,849.7590071634415
21_2020,0.0001,0.0001,0.0001,1496723.484643,412.2328045831667,1069.9252938765212
21_2021,0.0001,0.0001,0.0001,1648825.317597,435.93308095231185,865.0577955807786
21_2022,0.0001,0.0001,0.0001,1611837.516238,301.0513722115601,731.8193306547266
21_2023,0.0001,0.0001,0.0001,1426464.8386889999,220.54536847656738,614.2593194039252
21_2024,0.0001,0.0001,0.0001,1482716.650853,199.62368246223164,483.87958716984343
23_2019,0.0001,0.0001,0.0001,183053.417708,62.52441755267556,117.62962928079392
23_2020,0.0001,0.0001,0.0001,178318.143728,49.113005342193176,127.46983279760782
23_2021,0.0001,0.0001,0.0001,147987.457451,39.12641780812433,77.64176250200921
23_2022,0.0001,0.0001,0.0001,36303.76179700001,6.780644572002047,16.48292361412329
30_2019,0.0001,0.0001,0.0001,1006380.8026149999,6295.360096091155,10538.336055476413
30_2020,0.0001,0.0001,0.0001,1111343.032649,3360.7713250636734,6616.312463330323
30_2021,0.0001,0.0001,0.0001,1282820.437921,1962.4433408770274,4161.476812296806
30_2022,0.0001,0.0001,0.0001,1257051.760595,4153.091869473964,8666.58303339266
30_2023,0.0001,0.0001,0.0001,1584262.603479,3057.944006103425,6721.622630500772
30_2024,0.0001,0.0001,0.0001,1646839.226056,5106.328450975953,9343.992121491445
39_2019,0.0001,0.0001,0.0001,8581534.1,2931.141237509241,5514.470516216832
39_2020,0.0001,0.0001,0.0001,9415908.3,2593.362318446382,6730.914934093396
39_2021,0.0001,0.0001,0.0001,16369598.0,4327.959556377316,8588.325403118666
39_2022,0.0001,0.0001,0.0001,14153665.4,2643.5545441567424,6426.160102982454
39_2023,0.0001,0.0001,0.0001,12780951.9,1976.0597456137841,5503.688981667201
39_2024,0.0001,0.0001,0.0001,17766409.8,2391.9581306170285,5798.008024371053
45_2019,0.0001,0.0001,0.0001,215818.485571,73.715778030172,138.68437294164556
45_2020,0.0001,0.0001,0.0001,210896.46878,58.08584130194379,150.75828544962175
45_2021,0.0001,0.0001,0.0001,229374.789206,60.64442211324551,120.34170472438466
45_2022,0.0001,0.0001,0.0001,283798.826436,53.00659977812089,128.85260772917968
45_2023,0.0001,0.0001,0.0001,307967.83754499996,47.6148295899931,132.61603732381522
45_2024,0.0001,0.0001,0.0001,333528.30086799996,44.90416128148156,108.84583810441573
48_2019,0.0001,0.0001,0.0001,491872.338078,168.0057757657236,316.07582915434256
48_2020,0.0001,0.0001,0.0001,407150.329681,112.13876445013015,291.0493759238171
48_2021,0.0001,0.0001,0.0001,322147.443112,85.17259281376955,169.01496721107696
48_2022,0.0001,0.0001,0.0001,599565.610454,111.98402316588444,272.2195626455745
48_2023,0.0001,0.0001,0.0001,1241700.6232399999,191.97901978553747,534.6967966177277
48_2024,0.0001,0.0001,0.0001,596047.968887,80.24816501851872,194.51824794207442
49_2019,0.0001,0.0001,0.0001,1844268.7582110001,629.9354109939655,1185.1220973572085
49_2020,0.0001,0.0001,0.0001,1939782.446366,534.261649764508,1386.6437757403746
49_2021,0.0001,0.0001,0.0001,1947085.432622,514.7901008442266,1021.540253036747
49_2022,0.0001,0.0001,0.0001,2174912.609498,406.21986951749153,987.4711775106329
49_2023,0.0001,0.0001,0.0001,2028491.895713,313.62461972979065,873.502113393982
49_2024,0.0001,0.0001,0.0001,2085925.159068,280.8358976438401,680.7346530143484
50_2019,0.0001,0.0001,0.0001,3028197.006828,1034.322420511691,1945.9111758874317
50_2020,0.0001,0.0001,0.0001,2923274.505203,805.1384642593057,2089.688152923638
50_2021,0.0001,0.0001,0.0001,3182921.37904,841.53288306859,1669.9227760961942
50_2022,0.0001,0.0001,0.0001,3144747.6894799997,587.3610693630825,1427.8034392478014
50_2023,0.0001,0.0001,0.0001,3227130.5895599998,498.9458454865465,1389.6557319930541
50_2024,0.0001,0.0001,0.0001,3349429.578775,450.94621840142526,1093.0750665676521
55_2019,0.0001,0.0001,0.0001,300574.955866,102.66551852323808,193.14865066331507
55_2020,0.0001,0.0001,0.0001,297929.641016,82.05682127970086,212.97351313666454
55_2021,0.0001,0.0001,0.0001,355772.439754,94.06270884165859,186.65635417979001
55_2022,0.0001,0.0001,0.0001,384697.594844,71.85199354621065,174.66347167567068
55_2023,0.0001,0.0001,0.0001,429220.471601,66.36166872078591,184.82942418838306
55_2024,0.0001,0.0001,0.0001,442422.419771,59.56498336194529,144.38306719649754
59_2019,0.0001,0.0001,0.0001,3960834.097904,9198.379536542418,12495.576806260535
59_2020,0.0001,0.0001,0.0001,3043743.7454919997,9315.916717705568,17183.711663770926
59_2021,0.0001,0.0001,0.0001,3855230.7081150003,8068.658100822318,14552.582798207965
59_2022,0.0001,0.0001,0.0001,4906214.43678,8103.994688402409,16668.562225947026
59_2023,0.0001,0.0001,0.0001,4614201.535662999,4650.296576893448,10110.353292382637
59_2024,0.0001,0.0001,0.0001,3459612.396295,4900.531660146636,10267.061403038591
60_2019,0.0001,0.0001,0.0001,2280052.283736,778.7832798491963,1465.1554078302906
60_2020,0.0001,0.0001,0.0001,3022613.07833,832.4986406870851,2160.6998348653638
60_2021,0.0001,0.0001,0.0001,4444921.892389,1175.1933176071743,2332.032564469991
60_2022,0.0001,0.0001,0.0001,5533945.463399,1033.6041063175091,2512.5660769807014
60_2023,0.0001,0.0001,0.0001,6559639.691618,1014.184236178582,2824.6891919266736
60_2024,0.0001,0.0001,0.0001,5981247.878984,805.2777492147914,1951.960108344541
63_2019,0.0001,0.0001,0.0001,9073658.2,3099.233006029062,5830.708126898796
63_2020,0.0001,0.0001,0.0001,10145067.0,2794.189751817552,7252.1503823139365
63_2021,0.0001,0.0001,0.0001,11452164.1,3027.8387445920343,6008.3889574266705
63_2022,0.0001,0.0001,0.0001,12295441.8,2296.4843469314087,5582.47459655946
63_2023,0.0001,0.0001,0.0001,12425087.8,1921.0396869811345,5350.44802266313
63_2024,0.0001,0.0001,0.0001,12129875.2,1633.0904180770249,3958.543934082799
66_2019,0.0001,0.0001,0.0001,1084378.457671,370.3844064834683,696.8186531179111
66_2020,0.0001,0.0001,0.0001,1444608.807253,397.87919829526174,1032.67137750928
66_2021,0.0001,0.0001,0.0001,1779043.297209,470.36142484162957,933.3767843699046
66_2022,0.0001,0.0001,0.0001,1402733.613907,261.9959363519541,636.8803083900476
66_2023,0.0001,0.0001,0.0001,1342023.3900290001,207.48989742371614,577.8974369539926
66_2024,0.0001,0.0001,0.0001,1420275.24942,191.21696329239757,463.50204603254997
70_2019,0.0001,0.0001,0.0001,432835.79604399996,147.84103122712185,278.13910751084546
70_2020,0.0001,0.0001,0.0001,472242.82575200003,130.06676684201352,337.5804210383622
70_2021,0.0001,0.0001,0.0001,459083.85021999996,121.37722238127914,240.8587854757308
70_2022,0.0001,0.0001,0.0001,419161.123082,78.28892801558413,190.3108777653359
70_2023,0.0001,0.0001,0.0001,493728.968932,76.33531120244041,212.60784857823862
100_2019,0.0001,0.0001,0.0001,7493308.6,2559.442820700627,4815.179764141937
100_2020,0.0001,0.0001,0.0001,7667723.8,2111.871243603181,5481.233991618567
100_2021,0.0001,0.0001,0.0001,16354056.0,4323.850405534066,8580.171277805659
100_2022,0.0001,0.0001,0.0001,16655278.6,3110.7940016178813,7561.96248947481
100_2023,0.0001,0.0001,0.0001,17436665.7,2695.8784804983534,7508.516238927733
100_2024,0.0001,0.0001,0.0001,16482283.3,2219.0713821409295,5378.937664342107
153_2019,0.0001,0.0001,0.0001,323806.443711,234.8192471442037,293.09407766679647
153_2020,0.0001,0.0001,0.0001,332118.236533,135.09232926599068,181.32140574483552
153_2021,0.0001,0.0001,0.0001,350166.87424499996,359.5771687523568,597.7019021053795
153_2022,0.0001,0.0001,0.0001,400402.038158,385.687284849303,777.8726067007589
153_2023,0.0001,0.0001,0.0001,427543.67137199995,208.49737063455046,443.23419221698106
153_2024,0.0001,0.0001,0.0001,428462.05831399997,290.7352266608462,585.8937526947178
157_2019,0.0001,0.0001,0.0001,4330739.537543,8706.05721755075,10265.73934234225
157_2020,0.0001,0.0001,0.0001,6510894.224275,11839.474542940126,19938.379463855363
157_2021,0.0001,0.0001,0.0001,6713062.681729,7503.797626600299,12739.355618757229
157_2022,0.0001,0.0001,0.0001,4163149.772932,3849.991688807945,7179.299246047998
157_2023,0.0001,0.0001,0.0001,4707485.310611,2609.2995341208734,4697.806359591037
157_2024,0.0001,0.0001,0.0001,4547818.450684,2394.649147490444,5673.57843294472
301_2019,0.0001,0.0001,0.0001,2488776.895959,5356.733272083829,8444.470745910441
301_2020,0.0001,0.0001,0.0001,2277700.353578,4418.044402755039,5936.577756677323
301_2021,0.0001,0.0001,0.0001,5172217.969792,2986.601699682505,4632.45050564973
301_2022,0.0001,0.0001,0.0001,6382231.566945,3876.471288178504,8265.238529745284
301_2023,0.0001,0.0001,0.0001,14043973.805863,3883.955978797992,8029.876873710118
301_2024,0.0001,0.0001,0.0001,13767455.716685,4382.433179083328,9887.717590038059
333_2019,0.0001,0.0001,0.0001,27821601.7,9502.851481581514,17878.08572462332
333_2020,0.0001,0.0001,0.0001,28422124.9,7828.120811864389,20317.413769638963
333_2021,0.0001,0.0001,0.0001,34123320.8,9021.86799893856,17902.833219570035
333_2022,0.0001,0.0001,0.0001,34391753.1,6423.528649265774,15614.818168786378
333_2023,0.0001,0.0001,0.0001,37203728.0,5752.0589908146285,16020.539743252084
333_2024,0.0001,0.0001,0.0001,40714960.0,5481.607184910653,13287.19012166129
338_2019,0.0001,0.0001,0.0001,17436089.251286,27726.78957292566,29117.38808021049
338_2020,0.0001,0.0001,0.0001,19749109.292642,23790.768895912068,36847.26937009866
338_2021,0.0001,0.0001,0.0001,20354770.329737,14188.091654119597,23402.9131944089
338_2022,0.0001,0.0001,0.0001,17515753.562582,10513.882376435971,19888.953027718282
338_2023,0.0001,0.0001,0.0001,21395847.563113,8940.846427128352,18723.616286841534
338_2024,0.0001,0.0001,0.0001,21569050.458982002,9421.328714545763,18934.59020578682
400_2019,0.0001,0.0001,0.0001,1015608.288647,2566.58869400594,3703.155865582702
400_2020,0.0001,0.0001,0.0001,1119120.168105,2811.9910537035153,5586.5109583875665
400_2021,0.0001,0.0001,0.0001,1199069.737923,1277.3136637554837,2546.507945661414
400_2022,0.0001,0.0001,0.0001,1491744.939819,1635.9672598442664,3163.6276791218093
400_2023,0.0001,0.0001,0.0001,1706089.6563040002,1487.7426587055704,2123.5573499908805
400_2024,0.0001,0.0001,0.0001,1708913.334679,1679.9191959173734,3097.4328747427426
401_2019,0.0001,0.0001,0.0001,3450703.196478,17935.90175047549,27847.081461972783
401_2020,0.0001,0.0001,0.0001,3547963.134347,15775.886742520413,21639.112196488943
401_2021,0.0001,0.0001,0.0001,3633756.8644169997,7320.988631356537,18401.64767250306
401_2022,0.0001,0.0001,0.0001,3454364.414626,7642.96787594369,15622.592784144761
401_2023,0.0001,0.0001,0.0001,2823514.6548200003,4381.2894597282575,8470.422158198075
401_2024,0.0001,0.0001,0.0001,2528664.689745,4033.534783330802,8639.605928716283
403_2019,0.0001,0.0001,0.0001,91565.656855,333.3639088986488,534.1196118677474
403_2020,0.0001,0.0001,0.0001,104993.76914,272.7657432859276,419.6044504376686
403_2021,0.0001,0.0001,0.0001,197173.43158499998,713.605016772249,1894.0968004163594
403_2022,0.0001,0.0001,0.0001,240518.842537,1049.3625661147296,1751.5391490793688
403_2023,0.0001,0.0001,0.0001,232872.328044,601.7132645133768,903.811887846926
