DMU,标准化GTFP,效率等级,GTFP排名,百分位排名,传统TFP,简单绿色-GTFP,绿色TFP_对数,综合GTFP,资本效率,劳动效率,能源效率,总投入,总污染
8_2019,0.8574034641388493,A级,427,2.21,0.00033632881703922365,8.891044336178636e-06,-2.883399841,-1.441695475,7.255406186694024,123.00011401832997,0.00033634532822911754,957438917.4699999,36.827819092003075
8_2020,0.806711329033022,A级,2865,14.84,0.00012054438450096816,6.426256032173846e-06,-3.546740022,-1.773366798,4.25631096618957,80.09687410191812,0.00012054798000259323,1590716294,17.75810484700078
8_2021,0.8321886296235018,A级,1172,6.07,0.00015907899462340132,1.16778807687402e-05,-3.213356674,-1.606672498,5.3671387184904065,21.186192242203738,0.00015908490431868519,1392267120,12.622248561996892
8_2022,0.8332769487706859,A级,1118,5.79,0.00016100470208459382,1.5053749647341991e-05,-3.19911862,-1.599551783,4.068855349837909,16.792506705815338,0.00016101261712886159,1101180795,9.695322142999178
8_2023,0.8392800271056218,A级,866,4.48,0.00017890324833732648,1.1996920036676201e-05,-3.120561013,-1.560274508,4.895385109549591,13.023166151612502,0.00017891224450910977,1403914041,13.912431495997588
8_2024,0.8481996839923558,A级,611,3.16,0.00020968086002752195,1.7281649788907772e-05,-3.003846243,-1.501914481,4.319207799339335,12.093473251626326,0.00020969467565376133,992943445,11.133150618000291
12_2019,0.7666065653138031,C级,9719,50.33,0.00015326063551307555,1.4856361344965388e-07,-4.071533105,-2.035766478,1.0704270850526145,17749.2001694614,0.0001532825833909361,6832823096,1030.616235
12_2020,0.7687162092103859,C级,9194,47.61,0.0001598472245134854,1.511213852157017e-07,-4.043926916,-2.021963383,1.1668126104528487,16417.312999974656,0.00015986912730428252,6675907875,1056.7405987999982
12_2021,0.7757065485201933,B级,7498,38.83,0.00016526247570710734,1.5353448089846923e-07,-3.952453357,-1.976226602,1.5909659470624866,1365.6346342683987,0.00016527966422581815,8246901538,1075.3867159999998
12_2022,0.7721319303959772,C级,8322,43.09,0.0001413966620457008,1.450314297318197e-07,-3.999229768,-1.999614811,1.3518089213495308,1342.6419611306237,0.00014141146831077666,10748985712,973.9380689000001
12_2023,0.77862837573555,B级,6842,35.43,0.00015356037897191249,1.4407839950480492e-07,-3.914219159,-1.957109508,1.384106304081818,61.31171441568923,0.00015357780238803808,11848671182,1064.8112491999968
12_2024,0.7748966641254372,B级,7673,39.73,0.00012931570112539094,1.812507529019951e-07,-3.963051296,-1.981525558,1.1738513561126551,57.134251598831625,0.00012933024133307525,11951670420,712.4629734999994
16_2019,0.7442056623041817,D级,14576,75.48,0.00010079058815330442,1.8576822350200797e-08,-4.364664725,-2.182332353,21.520365093007943,5103.622729629147,0.0001007910621985544,54686778289,5424.609732999999
16_2020,0.7487093091097184,D级,13735,71.12,0.0001099355043510382,2.204360438997729e-08,-4.305731307,-2.152865643,15.840675530619674,5117.056559958835,0.00010993626967907514,45801251240,4986.183692999999
16_2021,0.7521276383273291,D级,13023,67.43,0.00010632144458243018,2.7432797185998886e-08,-4.261000042,-2.130500007,12.245111643025385,659.5905126930736,0.00010632238489330254,46186838284,3874.7055599999985
16_2022,0.7535546655480093,D级,12739,65.96,9.98905127757343e-05,5.262156570670978e-08,-4.242326401,-2.121163174,7.19680129193039,400.2684096255185,9.989192418943545e-05,29640306609,1897.280893600001
16_2023,0.7662706246474527,C级,9810,50.8,0.0001218861501463203,1.1657167606773023e-07,-4.075929095,-2.037964489,3.42052762340485,35.90331173690026,0.0001218909073743725,14644265496,1044.5897542999994
16_2024,0.7783569944474213,B级,6888,35.67,0.0001379895176726324,2.6879217747892627e-07,-3.9177705,-1.958885116,2.220360789221878,21.75100581213303,0.0001379989694142272,8054788623,512.368800199997
17_2019,0.7847168312627167,B级,5673,29.38,0.0002267423754961548,2.6732632977689317e-05,-3.834573976,-1.917273622,18.13734647500466,5.68181522795174,0.00022675425925315341,33528222.32,7.48185694700029
17_2021,0.7458364258781489,D级,14280,73.94,9.754590505031649e-05,6.948390272223363e-06,-4.343331952,-2.171662502,48.04796987670174,12.07060467494434,9.754689139130703e-05,169403910.8,13.038633503999339
17_2022,0.7442280300230645,D级,14571,75.45,8.513530297310514e-05,2.885892739121088e-06,-4.364374894,-2.182186004,193.005658001998,59.619602989268074,8.513546209789327e-05,522418107.1,28.50050833700409
17_2023,0.7492946133011591,D级,13618,70.52,8.983675543364855e-05,2.621512532158037e-06,-4.298074784,-2.149036081,248.39723319922754,43.561832022985186,8.98369731937168e-05,632794344.8,33.26905429199926
17_2024,0.7564650144259207,D级,12130,62.81,9.301945426940055e-05,3.3543687704172273e-06,-4.204245717,-2.102121181,197.82659521690846,5.951039777298789,9.302095199949092e-05,623384990.2,26.730837151996795
20_2019,0.7779260494564807,B级,6969,36.09,0.00019043298827337772,2.644429768091958e-06,-3.923412099,-1.961704727,3.6400048857436995,7.338121026136405,0.00019044789422571526,378903596,71.01287402999995
20_2020,0.7704216562616559,C级,8765,45.39,0.00016598264644372964,2.3882031928883648e-06,-4.021612165,-2.010804888,3.572949251932004,1.7362137169318765,0.00016600622857722974,416755777.7,68.50105691999853
20_2021,0.7806033762210983,B级,6471,33.51,0.00018230698420084593,2.9686918472896016e-06,-3.888377697,-1.944187364,4.074799622437233,2.0425014638245598,0.00018233141603290532,419957168.4,60.40987113000045
20_2022,0.7898446003398867,B级,4815,24.93,0.00019877434397456439,4.561427993340202e-06,-3.767451299,-1.883723369,3.8868857190826183,27.742594075155424,0.00019878593412811545,334266039.97999996,42.57721829000057
20_2023,0.7770515900864107,B级,7181,37.18,0.00015052881080197832,3.4589138513529425e-06,-3.934855836,-1.967426189,4.63044677805449,32.36263598218119,0.00015053440463036995,482659215.8,42.51909788999966
20_2024,0.7726956086173354,C级,8191,42.41,0.00012542696521813888,3.2454122613774804e-06,-3.991856739,-1.995926747,4.984866620399842,9.44250967857545,0.00012543178741464096,651122077.8,37.647467540000825
21_2019,0.756670684493484,D级,12089,62.6,0.00012727037661336047,9.77171254734766e-08,-4.201551122,-2.100775512,4.862761467103171,158.71121963513974,0.00012727380974140542,10390335263,1301.4367631000014
21_2020,0.7669806969132141,C级,9614,49.78,0.00015472652534061858,1.0432234127344526e-07,-4.066637281,-2.033318589,4.466257709261419,155.73025543647742,0.00015473203952529402,9673347745,1482.1580986000008
21_2021,0.7807733267332673,B级,6426,33.27,0.00018166854269941328,1.3953134844831148e-07,-3.886150947,-1.943075404,3.871273578970572,167.64873594305877,0.00018167726519908005,9076008942,1300.9908765999987
21_2022,0.7890889686334635,B级,4943,25.6,0.00019413169714845146,1.8777173642751666e-07,-3.777334905,-1.888667358,3.82210417611717,23.00456021465472,0.00019414319638076113,8302804435,1032.870702899999
21_2023,0.7902034871946538,B级,4758,24.64,0.0001906783433016912,2.281374417213321e-07,-3.762750678,-1.881375225,2.9390670316240683,19.352654886106148,0.00019069259375795156,7481000801,834.8046879000019
21_2024,0.7892200678401727,B级,4918,25.47,0.00016902420364197623,2.469297242316856e-07,-3.775619436,-1.887809595,2.6292845796469835,20.427596315992478,0.00016903646885244858,8772214979,683.5032697
23_2019,0.7746944473620966,B级,7715,39.95,0.00017862397191023492,9.86033571106687e-07,-3.965698252,-1.982848633,10.436394354360939,13.48857252229008,0.00017862939475960947,1024797600,180.15404684999962
23_2020,0.7797004194733466,B级,6638,34.37,0.00019667698675651326,1.107522486967656e-06,-3.900191669,-1.950095281,12.120220880954482,11.571586223231591,0.0001966835213154407,906654848.9,176.58283813999978
23_2021,0.7873094062399807,B级,5228,27.07,0.00020596015950032746,1.7488608440033396e-06,-3.800623304,-1.900310778,10.486907085214686,40.93705601659637,0.00020596524084517682,718524679,116.76818031000015
23_2022,0.730460567279196,E级,16655,86.24,6.603107954241506e-05,2.7214084477196533e-06,-4.544531772,-2.272264525,4.380724132272041,12.618617240180305,6.603242039192325e-05,549798095.9,23.26356818199922
30_2019,0.7164148860325382,E级,18110,93.78,0.00020186732191743658,1.199114733086511e-08,-4.728326793,-2.364163391,4.290272129683279,28.445710817151333,0.00020187825340626278,4985357677,16833.696155999998
30_2020,0.7316340781644181,E级,16512,85.5,0.00020549747210887002,2.059488339013652e-08,-4.529172847,-2.264586413,4.510651910280262,22.927998865300854,0.00020550867664634708,5408061820,9977.083788
30_2021,0.7371958825233841,E级,15746,81.53,0.0001739478100885301,2.840001268910308e-08,-4.456392689,-2.22819633,4.28766970334999,19.68754029374297,0.00017395640435915812,7374743248,6123.920152999998
30_2022,0.715602194288047,E级,18165,94.06,0.00016083276416432865,1.254479700742286e-08,-4.738961442,-2.369480715,4.287060533428196,269.29129413024265,0.0001608388942339759,7815893531,12819.674902000002
