DMU,投入_资本,投入_劳动,投入_能源,产出_营收,非期望_SO2,非期望_废水,非期望_烟尘
413_2023,0.001,0.001,0.001,4563760094.41,708.1654052771926,456376.009441,9127.52018882
420_2019,0.001,0.001,0.001,2690565539.92,1683.068565290403,269056.553992,5381.13107984
420_2020,0.001,0.001,0.001,2499714527.34,755.929416708071,249971.45273400002,4999.42905468
420_2021,0.001,0.001,0.001,3580154587.89,547.6877607049584,358015.458789,7160.30917578
420_2022,0.001,0.001,0.001,3669640281.25,1212.3886775147434,366964.028125,7339.2805625
420_2023,0.001,0.001,0.001,3736729964.21,721.2636952605126,373672.996421,7473.45992842
420_2024,0.001,0.001,0.001,3883475565.13,1204.1431521147695,388347.556513,7766.95113026
422_2021,0.001,0.001,0.001,18544062134.24,2656.463355227736,1854406.2134240002,37088.12426848
422_2022,0.001,0.001,0.001,20712522438.89,2182.849701538665,2071252.243889,41425.044877780005
422_2023,0.001,0.001,0.001,17042037265.76,1192.8294858116935,1704203.726576,34084.074531520004
422_2024,0.001,0.001,0.001,16963593887.39,1179.7267025255126,1696359.3887389998,33927.187774779995
423_2019,0.001,0.001,0.001,2958622339.62,470.4787745356955,295862.233962,5917.24467924
423_2020,0.001,0.001,0.001,3409437164.01,410.71792369044454,340943.71640100004,6818.874328020001
423_2021,0.001,0.001,0.001,3848985686.56,268.2897463919125,384898.568656,7697.971373120001
423_2022,0.001,0.001,0.001,4041818347.54,242.6113300870862,404181.834754,8083.63669508
423_2023,0.001,0.001,0.001,4715265729.5,197.04041462345748,471526.57295,9430.531459
423_2024,0.001,0.001,0.001,5920785955.41,258.61903768301653,592078.595541,11841.571910820001
425_2019,0.001,0.001,0.001,59175998918.25,12736.78017619338,5917599.891825,118351.9978365
425_2020,0.001,0.001,0.001,73968148563.43,14347.566141852656,7396814.856342999,147936.29712685998
425_2021,0.001,0.001,0.001,84327579230.19,4869.340250738209,8432757.923019,168655.15846038
425_2022,0.001,0.001,0.001,93817122393.59,5698.310653312178,9381712.239358999,187634.24478717998
425_2023,0.001,0.001,0.001,92848220501.93,2567.7803599197564,9284822.050192999,185696.44100385997
425_2024,0.001,0.001,0.001,91659763823.82,2917.698073156918,9165976.382382,183319.52764764
488_2019,0.001,0.001,0.001,30395434073.35,4833.468058024246,3039543.4073349996,60790.86814669999
488_2020,0.001,0.001,0.001,30736517996.9,3702.6753231941134,3073651.7996900002,61473.035993800004
488_2021,0.001,0.001,0.001,33019812294.14,2301.6134087578084,3301981.2294139997,66039.62458828
488_2022,0.001,0.001,0.001,32004367320.91,1921.0715219419715,3200436.732091,64008.734641819996
488_2023,0.001,0.001,0.001,26608570228.2,1111.9126706901143,2660857.02282,53217.140456400004
488_2024,0.001,0.001,0.001,22729474852.76,992.8200339838257,2272947.4852759996,45458.94970552
505_2019,0.001,0.001,0.001,7440286465.54,258.1428349315627,744028.646554,14880.57293108
505_2020,0.001,0.001,0.001,8741749912.11,384.0552103176386,874174.991211,17483.49982422
505_2021,0.001,0.001,0.001,11763093835.56,238.97741772584436,1176309.383556,23526.18767112
505_2022,0.001,0.001,0.001,12857874301.72,253.71761321259675,1285787.4301719998,25715.74860344
505_2023,0.001,0.001,0.001,11602380127.46,142.2109262895225,1160238.012746,23204.76025492
505_2024,0.001,0.001,0.001,11434843516.27,135.5425364278719,1143484.3516270001,22869.687032540005
510_2019,0.001,0.001,0.001,2319065343.95,753.9165732837691,231906.534395,4638.1306879
510_2020,0.001,0.001,0.001,2206963015.97,610.1853049758511,220696.30159699998,4413.92603194
510_2021,0.001,0.001,0.001,2978100414.59,456.871704745509,297810.04145900003,5956.20082918
510_2022,0.001,0.001,0.001,3038820516.07,686.5780021834062,303882.051607,6077.64103214
510_2023,0.001,0.001,0.001,2589304485.83,129.41046440445427,258930.448583,5178.60897166
510_2024,0.001,0.001,0.001,2037122003.84,300.10726938619047,203712.200384,4074.24400768
513_2019,0.001,0.001,0.001,9384695835.01,320.5472196804422,938469.5835010001,18769.391670020002
513_2020,0.001,0.001,0.001,10520409842.01,289.7567987029056,1052040.984201,21040.819684020003
513_2021,0.001,0.001,0.001,12063863272.98,318.9565946526181,1206386.327298,24127.72654596
513_2022,0.001,0.001,0.001,12629579047.66,235.88929184540672,1262957.9047659999,25259.15809532
513_2023,0.001,0.001,0.001,12430038325.82,192.18050865279767,1243003.832582,24860.07665164
513_2024,0.001,0.001,0.001,11812338854.68,159.03393135204635,1181233.885468,23624.677709360003
518_2019,0.001,0.001,0.001,417878239.86,89.94226339743264,41787.823986,835.7564797200001
518_2020,0.001,0.001,0.001,505399427.19,98.03208341012883,50539.942719,1010.79885438
518_2021,0.001,0.001,0.001,350961775.85,20.26563927504688,35096.177585000005,701.9235517000001
518_2022,0.001,0.001,0.001,270149197.6,16.408455209376527,27014.91976,540.2983952000001
518_2023,0.001,0.001,0.001,235419049.03,6.51067308756504,23541.904903,470.83809806
518_2024,0.001,0.001,0.001,203517230.21,6.478325992409291,20351.723021,407.03446042
519_2019,0.001,0.001,0.001,5321631282.12,1069.8040376524189,532163.128212,10643.26256424
519_2020,0.001,0.001,0.001,6463015337.79,1175.241110155137,646301.533779,12926.030675580001
519_2021,0.001,0.001,0.001,7513662651.85,839.8700659756996,751366.265185,15027.325303700001
519_2022,0.001,0.001,0.001,6713593037.1,620.8586960509548,671359.30371,13427.1860742
519_2023,0.001,0.001,0.001,6115915153.49,338.99743722520446,611591.515349,12231.83030698
519_2024,0.001,0.001,0.001,4569178640.7,240.5896333667006,456917.86406999995,9138.3572814
521_2019,0.001,0.001,0.001,16553252894.93,1200.415389523339,1655325.2894930001,33106.505789860006
521_2020,0.001,0.001,0.001,15388050229.67,625.9239390432049,1538805.022967,30776.10045934
521_2021,0.001,0.001,0.001,18032957501.44,1851.7570562835592,1803295.750144,36065.91500288
521_2022,0.001,0.001,0.001,20215220192.2,1947.2311940339844,2021522.0192200001,40430.440384400004
521_2023,0.001,0.001,0.001,24247678970.56,1182.4703879089016,2424767.8970560003,48495.357941120004
521_2024,0.001,0.001,0.001,28601036014.96,1940.7386318558247,2860103.601496,57202.07202992
523_2019,0.001,0.001,0.001,5746059081.48,196.26456680852104,574605.9081479999,11492.118162959998
523_2020,0.001,0.001,0.001,3315211541.76,91.3087130434237,331521.15417600004,6630.423083520001
523_2022,0.001,0.001,0.001,2488197424.92,46.47337225738264,248819.74249200002,4976.3948498400005
523_2023,0.001,0.001,0.001,2629215949.83,40.65024140326171,262921.594983,5258.43189966
523_2024,0.001,0.001,0.001,2053156540.43,27.64241360857872,205315.65404300002,4106.313080860001
525_2019,0.001,0.001,0.001,4614454469.63,993.1947628619499,461445.446963,9228.90893926
525_2020,0.001,0.001,0.001,4021995202.84,780.1444718529955,402199.520284,8043.990405680001
528_2019,0.001,0.001,0.001,19177295779.44,10242.34874148243,1917729.5779439998,38354.59155888
528_2020,0.001,0.001,0.001,23002550045.37,5609.192977350246,2300255.004537,46005.10009074
528_2021,0.001,0.001,0.001,28700729485.25,10509.457667954202,2870072.948525,57401.458970499996
528_2022,0.001,0.001,0.001,26479736961.83,6974.231202562262,2647973.696183,52959.47392366001
528_2023,0.001,0.001,0.001,27519122309.99,6910.092657529653,2751912.2309990004,55038.24461998001
528_2024,0.001,0.001,0.001,30062709198.12,11300.46927398234,3006270.919812,60125.41839624
529_2019,0.001,0.001,0.001,3019284993.64,103.12783995872064,301928.499364,6038.56998728
529_2020,0.001,0.001,0.001,3394669520.3,93.49717241324953,339466.95203000004,6789.339040600001
529_2021,0.001,0.001,0.001,3637711649.08,96.17749253818486,363771.164908,7275.42329816
529_2022,0.001,0.001,0.001,3417904153.34,63.837993909720055,341790.415334,6835.808306680001
529_2023,0.001,0.001,0.001,2790359035.26,43.14167057765854,279035.90352600004,5580.718070520001
529_2024,0.001,0.001,0.001,2335678319.1,31.446109871208495,233567.83190999998,4671.3566382
530_2019,0.001,0.001,0.001,1831851280.7,425.41704393265644,183185.12807,3663.7025614000004
530_2020,0.001,0.001,0.001,1727267935.15,528.6609379272714,172726.793515,3454.5358703
530_2021,0.001,0.001,0.001,2089208256.22,437.2528753044873,208920.825622,4178.416512440001
530_2022,0.001,0.001,0.001,2893085310.29,477.87450568656243,289308.531029,5786.17062058
530_2023,0.001,0.001,0.001,4815941467.7,485.36146392111493,481594.14677,9631.8829354
530_2024,0.001,0.001,0.001,4531147208.98,641.8357842101489,453114.72089799994,9062.29441796
533_2019,0.001,0.001,0.001,1373705459.33,46.9208031234618,137370.545933,2747.41091866
533_2020,0.001,0.001,0.001,1477674933.94,40.69863862833861,147767.49339400002,2955.3498678800006
533_2021,0.001,0.001,0.001,1458734801.26,38.567503144141824,145873.480126,2917.46960252
533_2022,0.001,0.001,0.001,1773768069.93,33.12959935836538,177376.806993,3547.5361398600003
533_2023,0.001,0.001,0.001,2066922966.26,31.956643784184934,206692.296626,4133.84593252
533_2024,0.001,0.001,0.001,2419568784.32,32.5755585478017,241956.87843200003,4839.137568640001
534_2019,0.001,0.001,0.001,548735086.55,18.74280311552813,54873.508655,1097.4701731
534_2020,0.001,0.001,0.001,552561979.41,15.218854839612645,55256.197941,1105.12395882
534_2021,0.001,0.001,0.001,656255549.8,17.350746659646482,65625.55498,1312.5110996
534_2022,0.001,0.001,0.001,793843031.64,14.827023914519591,79384.303164,1587.6860632799999
534_2023,0.001,0.001,0.001,981439362.7,15.174009201867921,98143.93627,1962.8787254000001
534_2024,0.001,0.001,0.001,1078865064.75,14.525163454618879,107886.506475,2157.7301295
536_2019,0.001,0.001,0.001,1474124196.43,462.269321842707,147412.419643,2948.24839286
536_2021,0.001,0.001,0.001,3013729443.36,325.9879540219855,301372.944336,6027.45888672
536_2022,0.001,0.001,0.001,2349810461.3,151.34239470015666,234981.04613000003,4699.620922600001
536_2023,0.001,0.001,0.001,1455444762.62,68.71707022463052,145544.47626199998,2910.88952524
536_2024,0.001,0.001,0.001,1738973014.92,75.20590307768452,173897.301492,3477.94602984
538_2019,0.001,0.001,0.001,29664673868.68,25541.61273668892,2966467.386868,59329.34773736
538_2020,0.001,0.001,0.001,32742766763.79,12061.615870871654,3274276.6763790003,65485.53352758001
538_2021,0.001,0.001,0.001,36373919016.03,7471.501800786056,3637391.901603,72747.83803206
538_2022,0.001,0.001,0.001,36488372649.73,686.5780021834062,3648837.264973,72976.74529946
538_2023,0.001,0.001,0.001,39111292156.0,5435.073768942041,3911129.2156,78222.584312
538_2024,0.001,0.001,0.001,40033300814.72,7359.5220192648385,4003330.081472,80066.60162944
541_2019,0.001,0.001,0.001,3337576747.66,113.99953346824327,333757.674766,6675.153495320001
541_2020,0.001,0.001,0.001,3744914452.72,103.14374055118292,374491.445272,7489.82890544
541_2021,0.001,0.001,0.001,4772690469.14,126.18520824729711,477269.046914,9545.380938280001
541_2022,0.001,0.001,0.001,8759965275.96,163.61447976521555,875996.5275959999,17519.93055192
541_2023,0.001,0.001,0.001,9057292003.9,140.03456294344056,905729.20039,18114.5840078
