DMU,投入_资本,投入_劳动,投入_能源,产出_营收,非期望_SO2,非期望_NOx
301188_2021,4522.82,4920,477703974.9,88887.98526,61.95849235,102.199031
301188_2022,65922.3,4910,494593612.7,82202.18824,49.34210425,93.33971586
301188_2023,11420.79,4709,544650549.3,94736.75651,39.58837286,82.90462306
301188_2024,10680.85,603,497242985.1,108084.1712,47.21100298,94.88268818
301189_2021,14463.19,657,656027812.4,95764.00203,25.31905351,50.24267617
301189_2022,52531.25,833,547269350.1,66806.07822,12.47772267,30.33182871
301189_2023,20012.35,939,363208695.3,52436.38761,8.107176646,22.57997456
301189_2024,18821.18,1089,391082362.3,55463.16871,7.467213627,18.10021838
301190_2021,18356.84,1146,29146172.67,55234.27678,63.14758327,107.2538645
301190_2022,5371.32,1574,13381230.84,40043.64485,33.74411443,68.69523037
301190_2023,4997.14,1377,141396075.1,49528.64401,28.05944055,52.13728388
301190_2024,4881.43,783,186849649.2,50461.73226,37.99867856,67.43048246
301191_2022,4304.83,772,2138051399,235225.5017,43.9343044,106.7989593
301191_2023,19766.74,845,1606354010,207473.7074,32.07745751,89.3416051
301191_2024,18891.85,687,1460755428,167873.4005,22.60142312,54.78491907
301192_2019,48078.27,759,48629050.39,17851.13233,18.73019339,27.52967491
301192_2020,90349.88,747,46075080.98,15489.98234,35.37777513,58.92502105
301192_2021,139818.98,838,62714922.06,16037.80478,22.97438414,36.56493217
301192_2022,179401.61,860,49285647.63,14354.41293,15.12781752,31.23157033
301192_2023,37443.53,547,126437123.8,31155.31642,21.80665345,44.19235307
301192_2024,69619.81,743,137955909.2,42225.84638,29.3658047,62.13316326
301193_2021,83403.76,337,996857494.5,123435.4786,28.3174959,57.80537003
301193_2022,95828.55,378,1057649358,197601.5757,45.53564419,96.70562085
301193_2023,12910.05,394,1327375141,172116.2189,21.84417393,60.77466991
301193_2024,14953.73,341,1726102539,232623.7163,34.85718918,89.11523264
301196_2021,14522.34,359,773281004.5,115914.5858,125.3820537,236.9315734
301196_2022,28898.89,720,571978599.9,95809.77288,61.70744706,131.5458545
301196_2023,12641.85,900,742965387.1,134107.4348,63.31720894,169.4144751
301196_2024,14356.37,986,942856498.7,181907.557,78.67012301,185.6684617
301198_2021,19973.8,526,270348498.6,36296.19548,8.326758062,16.99766577
301198_2022,22945.88,572,335049536,42798.02631,9.862450191,20.94522623
301198_2023,5268.53,553,350789682.7,40319.08205,5.117106609,14.23676931
301198_2024,7406.68,589,364625851.5,36633.68546,5.489325529,14.03390615
301199_2021,7169.96,628,533885123.7,81110.93313,56.53757497,93.25735916
301199_2022,10322.42,267,785164612.3,70239.61285,42.16153333,79.75633796
301199_2023,33150.82,272,885232602,97488.23879,40.7381558,85.31245935
301199_2024,36491.95,1318,269922884.2,109100.8375,47.65508128,95.77517807
301200_2021,46704,1258,2462737539,408056.243,107.8860285,214.0871021
301200_2022,77079.37,1213,1258383767,278614.9944,52.03838819,126.4990029
301200_2023,31689.71,632,904584751.3,163431.1083,25.26804239,70.37613452
301200_2024,33103.55,658,1696495594,334309.1398,45.00928854,109.1006623
301201_2021,20135.57,731,174923411.1,41572.57876,9.537220108,19.46861895
301201_2022,25794.22,629,232619410.9,41146.35373,9.481835943,20.1369026
301201_2023,67671.78,4324,149754097.1,41430.17641,5.258121434,14.62909952
